"","date","round","point","replicate","cloud.cover","precipitation","temperature","wind","sound.avg","hour","minute","time","doy"
"43",2024-05-01,1,29,1,0,"0",63,0.9,70.5,8,0.4,8.4,122
"44",2024-05-01,1,29,2,0,"0",60.6,1.3,85.3,8,0.566666666666667,8.56666666666667,122
"45",2024-05-04,1,7,1,100,"0",53.7,0,62.4,6,0.95,6.95,125
"46",2024-05-04,1,7,2,100,"0",51.9,0,61.9,7,0.05,7.05,125
"47",2024-05-04,1,8,1,100,"F",60.1,0.6,65.8,10,0.3,10.3,125
"48",2024-05-04,1,8,2,100,"F",60.1,0.6,66,10,0.4,10.4,125
"49",2024-05-04,1,19,1,100,"0",57.8,0.6,65.8,9,0.866666666666667,9.86666666666667,125
"50",2024-05-04,1,19,2,100,"0",60.1,0.6,69.1,9,0.983333333333333,9.98333333333333,125
"51",2024-05-04,1,30,1,100,"0",54.4,0.6,65,9,0.45,9.45,125
"52",2024-05-04,1,30,2,100,"0",53.9,0,61.5,9,0.566666666666667,9.56666666666667,125
"53",2024-05-04,1,22,1,100,"0",56.6,0,65.5,8,0.766666666666667,8.76666666666667,125
"54",2024-05-04,1,22,2,100,"0",56,0,67.2,8,0.9,8.9,125
"55",2024-05-04,1,28,1,100,"0",52.9,0,49,8,0.283333333333333,8.28333333333333,125
"56",2024-05-04,1,28,2,100,"0",52.2,0,45.1,8,0.416666666666667,8.41666666666667,125
"57",2024-05-04,1,5,1,100,"0",53.5,0.6,61.9,7,0.75,7.75,125
"58",2024-05-04,1,5,2,100,"0",53.3,0.6,63,7,0.866666666666667,7.86666666666667,125
"59",2024-05-04,1,27,1,100,"0",52.7,0,57.9,7,0.383333333333333,7.38333333333333,125
"60",2024-05-04,1,27,2,100,"0",52.6,0.6,60.7,7,0.5,7.5,125
"61",2024-05-04,1,26,1,100,"0",51.8,0.6,60,6,0.25,6.25,125
"62",2024-05-04,1,26,2,100,"0",51.4,0.7,60,6,0.366666666666667,6.36666666666667,125
"63",2024-05-11,2,13,1,100,"F",58.3,0.6,67.2,8,0.833333333333333,8.83333333333333,132
"64",2024-05-11,2,13,2,100,"N",64,0.6,68.5,9,0.133333333333333,9.13333333333333,132
"65",2024-05-11,2,12,1,100,"F",54.9,0.8,63.7,8,0,8,132
"66",2024-05-11,2,12,2,100,"F",54.8,0.7,65.3,8,0.133333333333333,8.13333333333333,132
"67",2024-05-11,2,2,1,100,"F",57.4,0,65.4,8,0.383333333333333,8.38333333333333,132
"68",2024-05-11,2,2,2,100,"F",57.1,0,65,8,0.516666666666667,8.51666666666667,132
"69",2024-05-12,2,31,1,10,"N",72.9,0.7,67.7,9,0.983333333333333,9.98333333333333,133
"70",2024-05-12,2,31,2,0,"N",75.7,0.7,70.3,10,0.1,10.1,133
"71",2024-05-12,2,16,1,90,"N",63.3,0.7,66.4,9,0.1,9.1,133
"72",2024-05-12,2,16,2,90,"N",62.9,0.8,65.7,9,0.233333333333333,9.23333333333333,133
"73",2024-05-12,2,1,1,100,"N",56.4,0.6,68,8,0.233333333333333,8.23333333333333,133
"74",2024-05-12,2,1,2,100,"N",56.7,0.6,67.4,8,0.366666666666667,8.36666666666667,133
"75",2024-05-12,2,14,1,80,"N",65.5,1.1,66.8,9,0.516666666666667,9.51666666666667,133
"76",2024-05-12,2,14,2,80,"N",66.8,0.9,66.1,9,0.633333333333333,9.63333333333333,133
"77",2024-05-12,2,4,1,100,"F, M",54.1,0.7,62.5,7,0.483333333333333,7.48333333333333,133
"78",2024-05-12,2,4,2,100,"F, M",53.8,0.8,64,7,0.616666666666667,7.61666666666667,133
"79",2024-05-12,2,17,1,100,"N",61.6,0.6,66.1,8,0.683333333333333,8.68333333333333,133
"80",2024-05-12,2,17,2,100,"N",59.5,0.7,70.1,8,0.783333333333333,8.78333333333333,133
"81",2024-05-13,2,24,1,100,"N",58.6,0.6,57.8,9,0.383333333333333,9.38333333333333,134
"82",2024-05-13,2,24,2,100,"N",59,0.6,64,9,0.566666666666667,9.56666666666667,134
"83",2024-05-13,2,19,1,100,"N",58.8,0,67.4,8,0.733333333333333,8.73333333333333,134
"84",2024-05-13,2,19,2,100,"N",57.6,0,69.5,8,0.85,8.85,134
"85",2024-05-13,2,7,1,100,"N",56.3,0,69.9,8,0.233333333333333,8.23333333333333,134
"86",2024-05-13,2,7,2,100,"N",57.7,0,63.5,8,0.416666666666667,8.41666666666667,134
"87",2024-05-13,2,11,1,100,"N",54.3,0.6,71.9,7,0.433333333333333,7.43333333333333,134
"88",2024-05-13,2,11,2,100,"N",54.3,0.6,70.8,7,0.55,7.55,134
"89",2024-05-13,2,25,1,100,"N",55.3,0.7,72.1,7,0.8,7.8,134
"90",2024-05-13,2,25,2,100,"N",54.8,0.7,72.7,7,0.933333333333333,7.93333333333333,134
"91",2024-05-13,2,8,1,100,"N",59.7,0.6,70.8,9,0.1,9.1,134
"92",2024-05-13,2,8,2,100,"N",61,0.6,71.2,9,0.2,9.2,134
"93",2024-05-17,2,29,1,100,"N",58,0.7,69.3,9,0.1,9.1,138
"94",2024-05-17,2,29,2,100,"N",56.8,0.6,68.7,9,0.2,9.2,138
"95",2024-05-17,2,6,1,100,"N",58.8,0.6,70.4,9,0.466666666666667,9.46666666666667,138
"96",2024-05-17,2,6,2,100,"M",59.2,0.6,69,9,0.566666666666667,9.56666666666667,138
"97",2024-05-17,2,18,1,100,"N",59,0.6,72.2,9,0.8,9.8,138
"98",2024-05-17,2,18,2,100,"N",59.9,0.7,68.7,9,0.916666666666667,9.91666666666667,138
"99",2024-05-17,2,27,1,100,"N",58.1,0.6,71.9,8,0.733333333333333,8.73333333333333,138
"100",2024-05-17,2,27,2,100,"N",58.7,0.7,70.5,8,0.866666666666667,8.86666666666667,138
"101",2024-05-17,2,22,1,100,"N",55.8,0.7,69.5,8,0.35,8.35,138
"102",2024-05-17,2,22,2,100,"N",56.3,0.6,68.7,8,0.466666666666667,8.46666666666667,138
"103",2024-05-17,2,5,1,100,"N",56.9,0,67.8,8,0,8,138
"104",2024-05-17,2,5,2,100,"M",56.4,0.6,66.2,8,0.1,8.1,138
"105",2024-05-17,2,28,1,100,"N",56.4,0,62.6,7,0.55,7.55,138
"106",2024-05-17,2,28,2,100,"N",55.5,0,43.9,7,0.666666666666667,7.66666666666667,138
"107",2024-05-17,2,23,1,100,"M",55.4,0.7,62,7,0,7,138
"108",2024-05-17,2,23,2,100,"N",54.5,0.8,64.7,7,0.1,7.1,138
"109",2024-05-18,2,21,1,100,"N",61.8,0.6,70.8,9,0.45,9.45,139
"110",2024-05-18,2,21,2,100,"N",60.4,0.7,71.5,9,0.566666666666667,9.56666666666667,139
"111",2024-05-18,2,3,1,100,"N",62.7,0,71.4,9,0.15,9.15,139
"112",2024-05-18,2,3,2,100,"N",60.8,0,72.6,9,0.25,9.25,139
"113",2024-05-18,2,10,1,100,"N",59.2,0,65.7,8,0.633333333333333,8.63333333333333,139
"114",2024-05-18,2,10,2,100,"N",58.9,0.6,65.4,7,0.733333333333333,7.73333333333333,139
"115",2024-05-18,2,9,1,100,"N",57,0.6,42.7,8,0.216666666666667,8.21666666666667,139
"116",2024-05-18,2,9,2,100,"N",57.8,0.6,44.1,8,0.316666666666667,8.31666666666667,139
"117",2024-05-18,2,15,1,100,"N",56.5,0,64.3,7,0.566666666666667,7.56666666666667,139
"118",2024-05-18,2,15,2,100,"N",56.2,0,62.9,7,0.666666666666667,7.66666666666667,139
"119",2024-05-18,2,20,1,100,"N",56.8,0.6,62.7,7,0.266666666666667,7.26666666666667,139
"120",2024-05-18,2,20,2,100,"N",56.3,0.6,67,7,0.366666666666667,7.36666666666667,139
"121",2024-05-18,2,30,1,100,"N",56.3,0,64,6,0.85,6.85,139
"122",2024-05-18,2,30,2,100,"N",55,0,61,6,0.966666666666667,6.96666666666667,139
"123",2024-05-18,2,26,1,100,"N",59.1,1.2,64,9,0.8,9.8,139
"124",2024-05-18,2,26,2,100,"N",59.9,0.9,70.8,9,0.9,9.9,139
"125",2024-05-25,3,14,1,95,"N",62.9,0.7,65.2,9,0.45,9.45,146
"126",2024-05-25,3,14,2,95,"N",63,0.7,70.2,9,0.566666666666667,9.56666666666667,146
"127",2024-05-25,3,7,1,60,"N",60.6,0.8,64.8,9,0.0333333333333333,9.03333333333333,146
"128",2024-05-25,3,7,2,60,"N",60.6,0.8,60.1,9,0.15,9.15,146
"129",2024-05-25,3,25,1,30,"N",67.6,0.8,70.3,8,0.65,8.65,146
"130",2024-05-25,3,25,2,50,"N",61.3,0.9,67.9,8,0.766666666666667,8.76666666666667,146
"131",2024-05-25,3,11,1,40,"N",63,0.9,70.5,8,0.283333333333333,8.28333333333333,146
"132",2024-05-25,3,11,2,40,"N",66.6,0.9,66.8,8,0.416666666666667,8.41666666666667,146
"133",2024-05-25,3,16,1,70,"N",57.5,0.6,63.2,7,0.883333333333333,7.88333333333333,146
"134",2024-05-25,3,16,2,60,"N",59,0.7,67.1,8,0,8,146
"135",2024-05-25,3,17,1,65,"N",57.4,0.6,64,7,0.433333333333333,7.43333333333333,146
"136",2024-05-25,3,17,2,65,"N",58.1,0.6,66.4,7,0.566666666666667,7.56666666666667,146
"137",2024-05-25,3,1,1,90,"N",58.5,0,63.3,7,0.0666666666666667,7.06666666666667,146
"138",2024-05-25,3,1,2,80,"N",57.4,0,67.7,7,0.183333333333333,7.18333333333333,146
"139",2024-05-28,3,31,1,15,"N",64.3,1.2,69.1,9,0.5,9.5,149
"140",2024-05-28,3,31,2,5,"N",64.5,1.2,72.8,9,0.616666666666667,9.61666666666667,149
"141",2024-05-28,3,13,1,100,"N",60.1,1.4,66.8,9,0.0833333333333333,9.08333333333333,149
"142",2024-05-28,3,13,2,85,"N",61.4,1.2,69.8,9,0.2,9.2,149
"143",2024-05-28,3,2,1,100,"N",56.8,1.1,70,8,0.633333333333333,8.63333333333333,149
"144",2024-05-28,3,2,2,100,"N",56.6,1,66.7,8,0.733333333333333,8.73333333333333,149
"145",2024-05-28,3,12,1,100,"N",56.8,0.8,63.7,8,0.3,8.3,149
"146",2024-05-28,3,12,2,100,"N",57.5,0.6,66.4,8,0.416666666666667,8.41666666666667,149
"147",2024-05-28,3,21,1,98,"N",55.9,0.8,76.1,7,0.7,7.7,149
"148",2024-05-28,3,21,2,90,"N",55.9,0.8,78.7,7,0.816666666666667,7.81666666666667,149
"149",2024-05-28,3,26,1,100,"N",55.4,0.6,69.1,7,0.333333333333333,7.33333333333333,149
"150",2024-05-28,3,26,2,98,"N",54.5,0.7,69.7,7,0.433333333333333,7.43333333333333,149
"151",2024-06-02,3,10,1,100,"N",63.5,0.7,39.9,9,0.333333333333333,9.33333333333333,154
"152",2024-06-02,3,10,2,90,"N",65.8,0.6,45.3,9,0.45,9.45,154
"153",2024-06-02,3,15,1,100,"N",62,0,56.7,8,0.916666666666667,8.91666666666667,154
"154",2024-06-02,3,15,2,100,"N",59.1,0,60.9,9,0.0333333333333333,9.03333333333333,154
"155",2024-06-02,3,19,1,100,"N",56.3,0.8,63,8,0.466666666666667,8.46666666666667,154
"156",2024-06-02,3,19,2,100,"N",56.6,0.8,65.6,8,0.566666666666667,8.56666666666667,154
"157",2024-06-02,3,8,1,100,"N",55.7,0.8,61.2,7,0.95,7.95,154
"158",2024-06-02,3,8,2,100,"N",54.6,1,67.5,8,0.0666666666666667,8.06666666666667,154
"159",2024-06-02,3,24,1,100,"N",54.6,0.7,59,7,0.55,7.55,154
"160",2024-06-02,3,24,2,100,"N",53.8,0,61,7,0.666666666666667,7.66666666666667,154
"161",2024-06-02,3,20,1,100,"N",55.4,0.7,44.7,7,0.1,7.1,154
"162",2024-06-02,3,20,2,100,"N",55.1,0.6,59.2,7,0.233333333333333,7.23333333333333,154
"163",2024-06-08,3,27,1,100,"N",59.4,0.9,68.5,8,0.683333333333333,8.68333333333333,160
"164",2024-06-08,3,27,2,100,"N",60.4,0.7,65,8,0.783333333333333,8.78333333333333,160
"165",2024-06-08,3,28,1,100,"N",57.6,0,43.3,8,0.233333333333333,8.23333333333333,160
"166",2024-06-08,3,28,2,100,"N",59.6,0,43,8,0.333333333333333,8.33333333333333,160
"167",2024-06-08,3,5,1,100,"N",59.1,0.6,62.1,7,0.85,7.85,160
"168",2024-06-08,3,5,2,100,"N",58,0.6,63.4,7,0.95,7.95,160
"169",2024-06-08,3,22,1,100,"F, M",57.1,0.6,65.1,7,0.5,7.5,160
"170",2024-06-08,3,22,2,100,"F, M",57.3,0,64.5,7,0.6,7.6,160
"171",2024-06-08,3,30,1,100,"F, M",56.6,0,66.3,6,0.983333333333333,6.98333333333333,160
"172",2024-06-08,3,30,2,100,"F, M",56,0,66.9,7,0.1,7.1,160
"173",2024-06-08,3,9,1,100,"F",55.8,0,48.7,6,0.483333333333333,6.48333333333333,160
"174",2024-06-08,3,9,2,100,"F",55.8,0,54.1,6,0.616666666666667,6.61666666666667,160
"175",2024-06-05,3,3,1,5,"N",75.7,0,73.1,7,0.466666666666667,7.46666666666667,157
"176",2024-06-05,3,3,2,5,"N",77.2,0,71.7,7,0.583333333333333,7.58333333333333,157
"177",2024-06-05,3,4,1,10,"N",59.8,0.9,71.1,6,0.916666666666667,6.91666666666667,157
"178",2024-06-05,3,4,2,10,"N",59.7,1,67.8,7,0.0333333333333333,7.03333333333333,157
"179",2024-06-10,3,23,1,100,"N",60.2,0,63.5,8,0.266666666666667,8.26666666666667,162
"180",2024-06-10,3,23,2,100,"N",60.4,0.6,66.4,8,0.383333333333333,8.38333333333333,162
"181",2024-06-10,3,29,1,100,"N",58.3,0,65.1,7,0.933333333333333,7.93333333333333,162
"182",2024-06-10,3,29,2,100,"N",59.1,0,65.8,8,0.0333333333333333,8.03333333333333,162
"183",2024-06-10,3,18,1,100,"N",58.6,0.6,66.3,7,0.283333333333333,7.28333333333333,162
"184",2024-06-10,3,18,2,100,"N",57.4,0.6,66.6,7,0.416666666666667,7.41666666666667,162
"185",2024-06-10,3,6,1,100,"N",57.5,0,68.1,7,0.616666666666667,7.61666666666667,162
"186",2024-06-10,3,6,2,100,"N",57.2,0,69.9,7,0.733333333333333,7.73333333333333,162
